PROYECTO (GRUPO),ID,NOMBRE DEL SUBPROYECTO,desc_empresa_n,val_empresa_n,desc_empresa_s,val_empresa_s,desc_empresa_u,val_empresa_u,grado_empresa_n,nivel_empresa_n,valor_añadido_empresa_n,error_empresa_n,observación_empresa_n,grado_empresa_s,nivel_empresa_s,valor_añadido_empresa_s,error_empresa_s,observación_empresa_s,grado_empresa_u,nivel_empresa_u,valor_añadido_empresa_u,error_empresa_u,observación_empresa_u
Mejoras y mantenimientos transversales (TRA),TRA1,Borrado y cambios de IDs de usuario,Propuesta técnica con error técnico relevante: LDAP mal interpretado,0,Propuesta técnica con valor añadido: modo “simulación”,10,Propuesta técnica incluida con desarrollo suficiente: Desarrollo técnico general evaluable.,8,INSUFICIENTE,MUY BAJA,NO,SÍ,LDAP mal interpretado,SUFICIENTE,EXCELENTE,VA,NO,modo “simulación”,SUFICIENTE,ALTA,NO,NO,Desarrollo técnico general evaluable.
Mejoras y mantenimientos transversales (TRA),TRA2,Cambios de nombre de centro,Propuesta técnica con error técnico relevante: uso incorrecto CalDAV vs ICS,0,Propuesta técnica incluida con desarrollo suficiente: Solución concreta y evaluable.,8,Propuesta técnica incluida con desarrollo suficiente: Desarrollo técnico general evaluable.,8,INSUFICIENTE,MUY BAJA,NO,SÍ,uso incorrecto CalDAV vs ICS,SUFICIENTE,ALTA,NO,NO,Solución concreta y evaluable.,SUFICIENTE,ALTA,NO,NO,Desarrollo técnico general evaluable.
Mejoras y mantenimientos transversales (TRA),TRA3,Tareas tras traslado CPD,Propuesta técnica incluida con desarrollo suficiente: Desarrollo evaluable.,8,Propuesta técnica incluida con desarrollo suficiente: Solución concreta y evaluable.,8,Propuesta técnica incluida con desarrollo suficiente: Desarrollo técnico general evaluable.,8,SUFICIENTE,ALTA,NO,NO,Desarrollo evaluable.,SUFICIENTE,ALTA,NO,NO,Solución concreta y evaluable.,SUFICIENTE,ALTA,NO,NO,Desarrollo técnico general evaluable.
Mejoras y mantenimientos transversales (TRA),TRA4,Modo oscuro/claro,Propuesta técnica incluida con desarrollo insuficiente: Desarrollo genérico o incompleto.,2,Propuesta técnica incluida con desarrollo suficiente: Solución concreta y evaluable.,8,Propuesta técnica incluida con desarrollo suficiente: Desarrollo técnico general evaluable.,8,INSUFICIENTE,BAJA,NO,NO,Desarrollo genérico o incompleto.,SUFICIENTE,ALTA,NO,NO,Solución concreta y evaluable.,SUFICIENTE,ALTA,NO,NO,Desarrollo técnico general evaluable.
Mejoras y mantenimientos transversales (TRA),TRA5,SSO,Propuesta técnica incluida con desarrollo suficiente: Desarrollo evaluable.,8,Propuesta técnica con valor añadido: mejora de seguridad y soporte,10,Propuesta técnica incluida con desarrollo suficiente: Desarrollo técnico general evaluable.,8,SUFICIENTE,ALTA,NO,NO,Desarrollo evaluable.,SUFICIENTE,EXCELENTE,VA,NO,mejora de seguridad y soporte,SUFICIENTE,ALTA,NO,NO,Desarrollo técnico general evaluable.
Mejoras y mantenimientos transversales (TRA),TRA6,API,Propuesta técnica incluida con desarrollo suficiente: Desarrollo evaluable.,8,Propuesta técnica con valor añadido: generación automática de una especificación OpenAPI,10,Propuesta técnica incluida con desarrollo suficiente: Desarrollo técnico general evaluable.,8,SUFICIENTE,ALTA,NO,NO,Desarrollo evaluable.,SUFICIENTE,EXCELENTE,VA,NO,generación automática de una especificación OpenAPI,SUFICIENTE,ALTA,NO,NO,Desarrollo técnico general evaluable.
Mejoras y mantenimientos transversales (TRA),TRA7,Securización LDAP/BBDD,Propuesta técnica incluida con desarrollo insuficiente: Desarrollo genérico o incompleto.,2,Propuesta técnica con valor añadido: verificador automático de secretos expuestos,10,Propuesta técnica incluida con desarrollo suficiente: Desarrollo técnico general evaluable.,8,INSUFICIENTE,BAJA,NO,NO,Desarrollo genérico o incompleto.,SUFICIENTE,EXCELENTE,VA,NO,verificador automático de secretos expuestos,SUFICIENTE,ALTA,NO,NO,Desarrollo técnico general evaluable.
Mejoras y mantenimientos transversales (TRA),TRA8,Calendario escolar,Propuesta técnica incluida con desarrollo insuficiente: Desarrollo genérico o incompleto.,2,Propuesta técnica con valor añadido: modo identificativo único para eventos de centro o de calendario escolar,10,Propuesta técnica incluida con desarrollo suficiente: Desarrollo técnico general evaluable.,8,INSUFICIENTE,BAJA,NO,NO,Desarrollo genérico o incompleto.,SUFICIENTE,EXCELENTE,VA,NO,modo identificativo único para eventos de centro o de calendario escolar,SUFICIENTE,ALTA,NO,NO,Desarrollo técnico general evaluable.
Aulas Virtuales (AV),AV1,Actualización Moodle,Propuesta técnica incluida con desarrollo suficiente: Desarrollo evaluable.,8,Propuesta técnica con valor añadido: “informe de salud post-upgrade” por isla,10,Propuesta técnica incluida con desarrollo suficiente: Desarrollo técnico general evaluable.,8,SUFICIENTE,ALTA,NO,NO,Desarrollo evaluable.,SUFICIENTE,EXCELENTE,VA,NO,“informe de salud post-upgrade” por isla,SUFICIENTE,ALTA,NO,NO,Desarrollo técnico general evaluable.
Aulas Virtuales (AV),AV2,Actualización PHP y SO,Propuesta técnica incluida con desarrollo insuficiente: Desarrollo genérico o incompleto.,2,Propuesta técnica con valor añadido: perfiles para tráfico web y tareas internas,10,Propuesta técnica incluida con desarrollo suficiente: Desarrollo técnico general evaluable.,8,INSUFICIENTE,BAJA,NO,NO,Desarrollo genérico o incompleto.,SUFICIENTE,EXCELENTE,VA,NO,perfiles para tráfico web y tareas internas,SUFICIENTE,ALTA,NO,NO,Desarrollo técnico general evaluable.
Aulas Virtuales (AV),AV3,Actualización plugins,Propuesta técnica incluida con desarrollo insuficiente: Desarrollo genérico o incompleto.,2,Propuesta técnica con valor añadido: ficha técnica por plugin con “decisión de ciclo de vida”,10,Propuesta técnica no incluida: La solución concreta queda pendiente o no aparece desarrollada.,0,INSUFICIENTE,BAJA,NO,NO,Desarrollo genérico o incompleto.,SUFICIENTE,EXCELENTE,VA,NO,ficha técnica por plugin con “decisión de ciclo de vida”,NO INCLUIDA,MUY BAJA,NO,NO,La solución concreta queda pendiente o no aparece desarrollada.
Aulas Virtuales (AV),AV4,Seguridad y rendimiento,Propuesta técnica con error técnico relevante: MySQL vs PostgreSQL,0,Propuesta técnica con valor añadido: cuadro de mando técnico de salud Moodle,10,Propuesta técnica no incluida: La solución concreta queda pendiente o no aparece desarrollada.,0,INSUFICIENTE,MUY BAJA,NO,SÍ,MySQL vs PostgreSQL,SUFICIENTE,EXCELENTE,VA,NO,cuadro de mando técnico de salud Moodle,NO INCLUIDA,MUY BAJA,NO,NO,La solución concreta queda pendiente o no aparece desarrollada.
Aulas Virtuales (AV),AV5,Integraciones,Propuesta técnica incluida con desarrollo insuficiente: Desarrollo genérico o incompleto.,2,Propuesta técnica incluida con desarrollo suficiente: Solución concreta y evaluable.,8,Propuesta técnica no incluida: La solución concreta queda pendiente o no aparece desarrollada.,0,INSUFICIENTE,BAJA,NO,NO,Desarrollo genérico o incompleto.,SUFICIENTE,ALTA,NO,NO,Solución concreta y evaluable.,NO INCLUIDA,MUY BAJA,NO,NO,La solución concreta queda pendiente o no aparece desarrollada.
Aulas Virtuales (AV),AV6,Interfaz y experiencia de usuario,Propuesta técnica incluida con desarrollo insuficiente: Desarrollo genérico o incompleto.,2,Propuesta técnica con valor añadido: modo compacto,10,Propuesta técnica no incluida: La solución concreta queda pendiente o no aparece desarrollada.,0,INSUFICIENTE,BAJA,NO,NO,Desarrollo genérico o incompleto.,SUFICIENTE,EXCELENTE,VA,NO,modo compacto,NO INCLUIDA,MUY BAJA,NO,NO,La solución concreta queda pendiente o no aparece desarrollada.
Aulas Virtuales (AV),AV7,Desarrollo y pruebas,Propuesta técnica incluida con desarrollo insuficiente: Desarrollo genérico o incompleto.,2,Propuesta técnica incluida con desarrollo suficiente: Solución concreta y evaluable.,8,Propuesta técnica no incluida: La solución concreta queda pendiente o no aparece desarrollada.,0,INSUFICIENTE,BAJA,NO,NO,Desarrollo genérico o incompleto.,SUFICIENTE,ALTA,NO,NO,Solución concreta y evaluable.,NO INCLUIDA,MUY BAJA,NO,NO,La solución concreta queda pendiente o no aparece desarrollada.
Aulas Virtuales (AV),AV8,Mantenimiento y soporte,Propuesta técnica incluida con desarrollo insuficiente: Desarrollo genérico o incompleto.,2,Propuesta técnica con valor añadido: calendario técnico de “campaña de inicio de curso”,10,Propuesta técnica no incluida: La solución concreta queda pendiente o no aparece desarrollada.,0,INSUFICIENTE,BAJA,NO,NO,Desarrollo genérico o incompleto.,SUFICIENTE,EXCELENTE,VA,NO,calendario técnico de “campaña de inicio de curso”,NO INCLUIDA,MUY BAJA,NO,NO,La solución concreta queda pendiente o no aparece desarrollada.
Aulas Virtuales (AV),AV9,Otros,Propuesta técnica incluida con desarrollo insuficiente: Desarrollo genérico o incompleto.,2,Propuesta técnica con valor añadido: modo “dry-run”,10,Propuesta técnica no incluida: La solución concreta queda pendiente o no aparece desarrollada.,0,INSUFICIENTE,BAJA,NO,NO,Desarrollo genérico o incompleto.,SUFICIENTE,EXCELENTE,VA,NO,modo “dry-run”,NO INCLUIDA,MUY BAJA,NO,NO,La solución concreta queda pendiente o no aparece desarrollada.
Aulas Virtuales (AV),AV10,Plugin eXeLearning,Propuesta técnica incluida con desarrollo insuficiente: Desarrollo genérico o incompleto.,2,Propuesta técnica con valor añadido: prueba automática de conectividad,10,Propuesta técnica incluida con desarrollo suficiente: Desarrollo técnico general evaluable.,8,INSUFICIENTE,BAJA,NO,NO,Desarrollo genérico o incompleto.,SUFICIENTE,EXCELENTE,VA,NO,prueba automática de conectividad,SUFICIENTE,ALTA,NO,NO,Desarrollo técnico general evaluable.
Aulas Virtuales (AV),AV11,IA en Moodle,Propuesta técnica con error técnico relevante: procesos IA síncronos incorrectos,0,Propuesta técnica con valor añadido: notificación por correo al docente,10,Propuesta técnica incluida con desarrollo suficiente: Desarrollo técnico general evaluable.,8,INSUFICIENTE,MUY BAJA,NO,SÍ,procesos IA síncronos incorrectos,SUFICIENTE,EXCELENTE,VA,NO,notificación por correo al docente,SUFICIENTE,ALTA,NO,NO,Desarrollo técnico general evaluable.
